date_reco;serial;société;client;contrat;type_livraison;client_code;modele_machine;marque;couleur;toner;ville;code_postal;jours_avant_rupture;date_rupture_estimee;priorite;commentaire
2026-02-17;;AdexGroup;;CT002442;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002553;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002551;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002568;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002575;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002518;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002571;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002433;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT001604;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002520;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002459;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002517;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002434;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002569;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002626;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002526;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT000174;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT003732;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT001494;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT003730;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT005041;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;STCT000962;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;STCT000977;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;STCT000856;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;STCT000970;stock_seulement;;;;black;black;;;0;2026-02-16;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002442;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002553;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002551;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002568;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002575;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002518;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002571;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002433;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT001604;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002520;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002459;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002517;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002434;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002569;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002626;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002526;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT000174;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT003732;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT001494;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT003730;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT005041;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;STCT000962;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;STCT000977;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;STCT000856;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;STCT000970;stock_seulement;;;;cyan;cyan;;;0;2026-02-15;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002442;stock_seulement;;;;magenta;magenta;;;0;2026-02-07;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002553;stock_seulement;;;;magenta;magenta;;;0;2026-02-07;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002551;stock_seulement;;;;magenta;magenta;;;0;2026-02-07;1;Risque de rupture imminent
2026-02-17;;AdexGroup;;CT002568;stock_seulement;;;;magenta;magenta;;;0;2026-02-07;1;Risque de rupture imminent
